C938  30 0B     BMI $C945                       A:71 X:1C Y:00 P:2C SP:FB
C93A  B0 09     BCS $C945                       A:71 X:1C Y:00 P:2C SP:FB
C93C  C9 6B     CMP #$6B                        A:71 X:1C Y:00 P:2C SP:FB
C93E  D0 05     BNE $C945                       A:71 X:1C Y:00 P:2D SP:FB
C945  A2 1F     LDX #$1F                        A:71 X:1C Y:00 P:2D SP:FB
C947  86 00     STX $00                         A:71 X:1F Y:00 P:2D SP:FB
C949  EA        NOP                             A:71 X:1F Y:00 P:2D SP:FB
C94A  D8        CLD                             A:71 X:1F Y:00 P:2D SP:FB
C94B  38        SEC                             A:71 X:1F Y:00 P:25 SP:FB
C94C  B8        CLV                             A:71 X:1F Y:00 P:25 SP:FB
C94D  A9 7F     LDA #$7F                        A:71 X:1F Y:00 P:25 SP:FB
C94F  69 7F     ADC #$7F                        A:7F X:1F Y:00 P:25 SP:FB
C951  10 0B     BPL $C95E                       A:FF X:1F Y:00 P:24 SP:FB
C95E  A2 20     LDX #$20                        A:FF X:1F Y:00 P:24 SP:FB
C960  86 00     STX $00                         A:FF X:20 Y:00 P:24 SP:FB
C962  EA        NOP                             A:FF X:20 Y:00 P:24 SP:FB
C963  18        CLC                             A:FF X:20 Y:00 P:24 SP:FB
C964  24 01     BIT $01                         A:FF X:20 Y:00 P:24 SP:FB
C966  A9 7F     LDA #$7F                        A:FF X:20 Y:00 P:A4 SP:FB
C968  69 80     ADC #$80                        A:7F X:20 Y:00 P:24 SP:FB
C96A  10 0B     BPL $C977                       A:FF X:20 Y:00 P:24 SP:FB
C977  A2 21     LDX #$21                        A:FF X:20 Y:00 P:24 SP:FB
C979  86 00     STX $00                         A:FF X:21 Y:00 P:24 SP:FB
C97B  EA        NOP                             A:FF X:21 Y:00 P:24 SP:FB
C97C  38        SEC                             A:FF X:21 Y:00 P:24 SP:FB
C97D  B8        CLV                             A:FF X:21 Y:00 P:25 SP:FB
C97E  A9 7F     LDA #$7F                        A:FF X:21 Y:00 P:25 SP:FB
C980  69 80     ADC #$80                        A:7F X:21 Y:00 P:25 SP:FB
C982  D0 09     BNE $C98D                       A:00 X:21 Y:00 P:25 SP:FB
C98D  A2 22     LDX #$22                        A:00 X:21 Y:00 P:25 SP:FB
C98F  86 00     STX $00                         A:00 X:22 Y:00 P:25 SP:FB
C991  EA        NOP                             A:00 X:22 Y:00 P:25 SP:FB
C992  38        SEC                             A:00 X:22 Y:00 P:25 SP:FB
C993  B8        CLV                             A:00 X:22 Y:00 P:25 SP:FB
C994  A9 9F     LDA #$9F                        A:00 X:22 Y:00 P:25 SP:FB
C996  F0 09     BEQ $C9A1                       A:9F X:22 Y:00 P:A5 SP:FB
C998  10 07     BPL $C9A1                       A:9F X:22 Y:00 P:A5 SP:FB
C99A  70 05     BVS $C9A1                       A:9F X:22 Y:00 P:A5 SP:FB
C99C  90 03     BCC $C9A1                       A:9F X:22 Y:00 P:A5 SP:FB
C99E  4C A5 C9  JMP $C9A5                       A:9F X:22 Y:00 P:A5 SP:FB
C9A5  EA        NOP                             A:9F X:22 Y:00 P:A5 SP:FB
C9A6  18        CLC                             A:9F X:22 Y:00 P:A5 SP:FB
C9A7  24 01     BIT $01                         A:9F X:22 Y:00 P:A4 SP:FB
C9A9  A9 00     LDA #$00                        A:9F X:22 Y:00 P:A4 SP:FB
C9AB  D0 09     BNE $C9B6                       A:00 X:22 Y:00 P:26 SP:FB
C9AD  30 07     BMI $C9B6                       A:00 X:22 Y:00 P:26 SP:FB
C9AF  50 05     BVC $C9B6                       A:00 X:22 Y:00 P:26 SP:FB
C9B6  A2 23     LDX #$23                        A:00 X:22 Y:00 P:26 SP:FB
C9B8  86 00     STX $00                         A:00 X:23 Y:00 P:24 SP:FB
C9BA  EA        NOP                             A:00 X:23 Y:00 P:24 SP:FB
C9BB  24 01     BIT $01                         A:00 X:23 Y:00 P:24 SP:FB
C9BD  A9 40     LDA #$40                        A:00 X:23 Y:00 P:A6 SP:FB
C9BF  C9 40     CMP #$40                        A:40 X:23 Y:00 P:24 SP:FB
C9C1  30 09     BMI $C9CC                       A:40 X:23 Y:00 P:27 SP:FB
C9C3  90 07     BCC $C9CC                       A:40 X:23 Y:00 P:27 SP:FB
C9C5  D0 05     BNE $C9CC                       A:40 X:23 Y:00 P:27 SP:FB
C9C7  50 03     BVC $C9CC                       A:40 X:23 Y:00 P:27 SP:FB
C9CC  A2 24     LDX #$24                        A:40 X:23 Y:00 P:27 SP:FB
C9CE  86 00     STX $00                         A:40 X:24 Y:00 P:25 SP:FB
C9D0  EA        NOP                             A:40 X:24 Y:00 P:25 SP:FB
C9D1  B8        CLV                             A:40 X:24 Y:00 P:25 SP:FB
C9D2  C9 3F     CMP #$3F                        A:40 X:24 Y:00 P:25 SP:FB
C9D4  F0 09     BEQ $C9DF                       A:40 X:24 Y:00 P:25 SP:FB
C9D6  30 07     BMI $C9DF                       A:40 X:24 Y:00 P:25 SP:FB
C9D8  90 05     BCC $C9DF                       A:40 X:24 Y:00 P:25 SP:FB
C9DA  70 03     BVS $C9DF                       A:40 X:24 Y:00 P:25 SP:FB
